iter	Passed	Remaining
556	3470	1588
557	3478	1583
558	3484	1577
559	3492	1571
560	3499	1565
561	3507	1560
562	3513	1553
563	3519	1547
564	3526	1541
565	3533	1535
566	3539	1529
567	3545	1523
568	3551	1516
569	3558	1510
570	3564	1504
571	3571	1498
572	3578	1492
573	3584	1486
574	3590	1479
575	3596	1473
576	3602	1467
577	3609	1461
578	3615	1454
579	3621	1448
580	3627	1442
581	3634	1436
582	3641	1430
583	3648	1424
584	3656	1418
585	3664	1413
586	3672	1407
587	3680	1401
588	3686	1395
589	3694	1389
590	3701	1384
591	3707	1377
592	3714	1371
593	3720	1365
594	3728	1359
595	3734	1353
596	3742	1347
597	3749	1341
598	3756	1335
599	3762	1329
600	3769	1323
601	3776	1317
602	3783	1311
603	3790	1305
604	3796	1299
605	3803	1293
606	3810	1287
607	3817	1280
608	3824	1274
609	3830	1268
610	3837	1262
611	3842	1255
612	3849	1249
613	3854	1243
614	3860	1236
615	3867	1230
616	3873	1224
617	3879	1217
618	3884	1211
619	3890	1204
620	3896	1198
621	3902	1191
622	3907	1185
623	3913	1179
624	3919	1172
625	3925	1166
626	3931	1160
627	3937	1153
628	3944	1147
629	3950	1141
630	3956	1134
631	3962	1128
632	3969	1122
633	3975	1116
634	3981	1109
635	3986	1103
636	3993	1097
637	3999	1090
638	4005	1084
639	4010	1077
640	4016	1071
641	4023	1065
642	4029	1059
643	4035	1052
644	4041	1046
645	4047	1040
646	4053	1033
647	4059	1027
648	4065	1021
649	4072	1014
650	4078	1008
651	4084	1002
652	4090	996
653	4097	990
654	4104	983
655	4110	977
656	4116	971
657	4122	964
658	4128	958
659	4134	952
660	4141	945
661	4146	939
662	4153	933
663	4159	927
664	4165	920
665	4171	914
666	4177	908
667	4184	901
668	4190	895
669	4196	889
670	4202	883
671	4208	876
672	4215	870
673	4221	864
674	4227	858
675	4233	851
676	4240	845
677	4249	839
678	4256	833
679	4262	827
680	4270	821
681	4276	815
682	4282	808
683	4288	802
684	4294	796
685	4301	790
686	4307	783
687	4313	777
688	4319	771
689	4325	764
690	4331	758
691	4338	752
692	4344	746
693	4351	739
694	4357	733
695	4364	727
696	4371	721
697	4378	715
698	4384	708
699	4390	702
700	4396	696
701	4402	689
702	4408	683
703	4415	677
704	4421	671
705	4427	664
706	4433	658
707	4439	652
708	4445	645
709	4452	639
710	4458	633
711	4464	626
712	4470	620
713	4475	614
714	4481	608
715	4488	601
716	4494	595
717	4500	589
718	4506	582
719	4512	576
720	4519	570
721	4525	564
722	4531	557
723	4537	551
724	4543	545
725	4549	538
726	4555	532
727	4561	526
728	4567	520
729	4573	513
730	4579	507
731	4585	501
732	4592	494
733	4598	488
734	4604	482
735	4611	476
736	4616	469
737	4623	463
738	4629	457
739	4635	451
740	4641	444
741	4647	438
742	4653	432
743	4659	425
744	4664	419
745	4671	413
746	4677	406
747	4683	400
748	4689	394
749	4695	388
750	4701	381
751	4708	375
752	4714	369
753	4720	363
754	4726	356
755	4732	350
756	4738	344
757	4744	338
758	4750	331
759	4756	325
760	4762	319
761	4768	312
762	4774	306
763	4780	300
764	4787	294
765	4793	287
766	4799	281
767	4805	275
768	4812	269
769	4818	262
770	4824	256
771	4831	250
772	4837	244
773	4843	237
774	4850	231
775	4856	225
776	4863	219
777	4869	212
778	4875	206
779	4881	200
780	4888	194
781	4894	187
782	4900	181
783	4906	175
784	4912	168
785	4918	162
786	4924	156
787	4930	150
788	4937	143
789	4944	137
790	4950	131
791	4957	125
792	4963	118
793	4969	112
794	4975	106
795	4980	100
796	4986	93
797	4992	87
798	4997	81
799	5003	75
800	5009	68
801	5016	62
802	5022	56
803	5028	50
804	5033	43
805	5039	37
806	5046	31
807	5052	25
808	5058	18
809	5064	12
810	5070	6
811	5076	0
