iter	Logloss
125	0.1852593317
126	0.1850104615
127	0.184858428
128	0.1846518902
129	0.1844940634
130	0.1842981616
131	0.1841963249
132	0.1839742819
133	0.1837804151
134	0.1836602324
135	0.1834414545
136	0.1833158487
137	0.1830170816
138	0.1828904134
139	0.1827005443
140	0.1824093039
141	0.1822435038
142	0.1820353052
143	0.1818628064
144	0.1817074443
145	0.1814789345
146	0.1812484006
147	0.1811193188
148	0.1808381531
149	0.180645874
150	0.1803445434
151	0.1801795545
152	0.1799982975
153	0.1798574135
154	0.1796990711
155	0.1796248606
156	0.1794197106
157	0.1792094596
158	0.1789975431
159	0.1788411027
160	0.1786549611
161	0.1785072852
162	0.178405577
163	0.1781491427
164	0.1779894733
165	0.1779294879
166	0.1778602556
167	0.1777080666
168	0.1774958728
169	0.1772641125
170	0.1770189126
171	0.1768050746
172	0.1766497395
173	0.1764966682
174	0.176442149
175	0.1761823687
176	0.1759407323
177	0.175797035
178	0.1757113477
179	0.1754616657
180	0.1754031291
181	0.1752294147
182	0.1750855268
183	0.1749176384
184	0.174833408
185	0.1746490545
186	0.1744705817
187	0.1743782633
188	0.1742983614
189	0.1741984312
190	0.1741105651
191	0.1739536951
192	0.1738422751
193	0.1737574828
194	0.1736446049
195	0.1735384367
196	0.173385203
197	0.173323692
198	0.1732393542
199	0.1731173773
200	0.1730006489
201	0.1729414922
202	0.1729042033
203	0.1727049549
204	0.1726223669
205	0.1723951365
206	0.1722066371
207	0.1720662144
208	0.1719860846
209	0.1719225277
210	0.1717512072
211	0.1717078824
212	0.1716073562
213	0.1714614369
214	0.1713581888
215	0.1711934554
216	0.1710749257
217	0.1709154465
218	0.1708399217
219	0.1707377017
220	0.1705544979
221	0.1704705764
222	0.1702723713
223	0.1700980558
224	0.1700152812
225	0.1699316902
226	0.1698594817
227	0.1696207009
228	0.1694852356
229	0.1693681061
230	0.1691560971
231	0.1690037722
232	0.16894428
233	0.1688108344
234	0.1687064823
235	0.1686314161
236	0.1684881479
237	0.1683593381
238	0.1683315301
239	0.1682378856
240	0.1680391323
241	0.1679243545
242	0.1677886414
243	0.1675574905
244	0.1673725182
245	0.1672705607
246	0.1671743705
247	0.1671202978
248	0.167032813
249	0.1669414881
250	0.1667743159
251	0.1666688776
252	0.1665680825
253	0.1663670208
254	0.1662285259
255	0.1660537497
256	0.1659008493
257	0.1656989389
258	0.1655851814
259	0.1654049709
260	0.165290362
261	0.1651481448
262	0.1650650545
263	0.1649072392
264	0.1648090885
265	0.1646262334
266	0.1644612404
267	0.1642825475
268	0.1641502361
269	0.164040219
270	0.1639002141
271	0.1638329918
272	0.1637037024
273	0.1635136969
274	0.1634054936
275	0.1632870614
276	0.1630758023
277	0.1629438221
278	0.1628926105
279	0.162791518
280	0.162730475
281	0.1626297359
282	0.1624529444
283	0.1623151826
284	0.1621999977
285	0.1620735929
286	0.16197809
287	0.1619120582
288	0.1617657067
289	0.1615974194
290	0.1613062151
291	0.1611508246
292	0.1610185674
293	0.1608720196
294	0.1607656903
295	0.1606606742
296	0.1605877655
297	0.1604964971
298	0.1604395715
299	0.1602984971
300	0.1601877635
301	0.1600590422
302	0.1599898339
303	0.1598724694
304	0.1597307708
305	0.1595960561
306	0.1594361052
307	0.1592844097
308	0.1591732662
309	0.1590773564
310	0.1588748332
311	0.1586864998
312	0.158637534
313	0.1585749783
314	0.1585092403
315	0.158449573
316	0.1583013117
317	0.1581136032
318	0.157960376
319	0.1578315173
320	0.1577564517
321	0.1575891158
322	0.1575013397
323	0.1572791159
324	0.1572032481
325	0.157088711
326	0.1569697085
327	0.1568457616
328	0.1567123429
329	0.1565434452
330	0.1564712777
331	0.1563328614
332	0.1561513685
333	0.156111063
334	0.1560365736
335	0.1558980519
336	0.155862073
337	0.1557654581
338	0.1556073874
339	0.1554973404
340	0.155332067
341	0.1551590956
342	0.1550161293
343	0.1549664205
344	0.1548132577
345	0.1546626353
346	0.1545380852
347	0.1544065523
348	0.1543190833
349	0.1542080579
350	0.1541279944
351	0.1540116746
352	0.1538392024
353	0.1537263753
354	0.1536195618
355	0.153470421
356	0.1533320031
357	0.1532243553
358	0.153031397
359	0.1529220932
360	0.1528477916
361	0.1527191684
362	0.1526376981
363	0.1525577696
364	0.1524661685
365	0.152348663
366	0.1522833505
367	0.1522087969
368	0.1521290273
369	0.1520478151
370	0.1520173335
371	0.151893548
372	0.1517366586
373	0.1515861332
374	0.1515044195
375	0.1514072584
376	0.1512105646
377	0.1510565416
378	0.1508708977
379	0.1508018969
380	0.1506762011
381	0.1505322957
382	0.1503539733
383	0.1502988341
384	0.1501354885
385	0.1499875196
386	0.1499098121
387	0.14979249
388	0.149662504
389	0.1495738168
390	0.1494568675
391	0.1492475851
392	0.149144485
393	0.1490232785
394	0.148920837
395	0.1488343384
396	0.1486686068
397	0.1485194187
398	0.1483907372
399	0.1482650133
400	0.1481359063
401	0.1480226451
402	0.1479369811
403	0.147842216
404	0.1477032265
405	0.1475779192
406	0.1474582901
407	0.147325852
408	0.1472153151
409	0.1470418375
410	0.146955493
411	0.1468679315
412	0.1467994636
413	0.1466911276
414	0.1465730591
415	0.1464369803
416	0.1463771935
417	0.1462595279
418	0.1461275611
419	0.1460169548
420	0.1459008369
421	0.1457818835
422	0.1456631518
423	0.1455345662
424	0.1454578428
425	0.1453029937
426	0.1451999369
427	0.1450934413
428	0.1449561415
429	0.1448289422
430	0.1447175273
431	0.1445621459
432	0.144438565
433	0.1442759761
434	0.1442012347
435	0.1440489729
436	0.1439320114
437	0.1438924253
438	0.1437813051
439	0.1436839205
440	0.1436422775
441	0.1434562579
442	0.1433843709
443	0.1432359286
444	0.1430714857
445	0.1429359108
446	0.142857437
447	0.1426621774
448	0.1426014018
449	0.1424500019
450	0.1423693458
451	0.1422663675
452	0.1421678956
453	0.1420591383
454	0.1419692493
455	0.1418789704
456	0.1417583607
457	0.1416573137
458	0.1416134425
459	0.1414970847
460	0.1412498319
461	0.1411351072
462	0.1410305249
463	0.1408261067
464	0.1406916251
465	0.1405645714
466	0.1404667862
467	0.1403590555
468	0.1402752808
469	0.1401124679
470	0.1400483057
471	0.1399122631
472	0.1397910256
473	0.1397418686
474	0.1396316048
475	0.1395695997
476	0.1394865592
477	0.1394332977
478	0.1392022165
479	0.1390318238
480	0.1389226994
481	0.138832167
482	0.1386766551
483	0.1385886972
484	0.1384665054
485	0.1383291697
486	0.1382327661
487	0.1381190196
488	0.1380475515
489	0.1379783352
490	0.1379205633
491	0.1378171529
492	0.1377469817
493	0.1376648202
494	0.13753708
495	0.1373626261
496	0.1372876364
497	0.1371779499
498	0.13703808
499	0.1369934746
500	0.1368380159
501	0.1368099874
502	0.1367006648
503	0.1365695467
504	0.1365160325
505	0.1364282114
506	0.1363807745
507	0.1362693179
508	0.136174445
509	0.1360918247
510	0.1360018852
511	0.1357992303
512	0.1357488909
513	0.1356790193
514	0.1355455951
515	0.1353903186
516	0.1352982284
517	0.135226829
518	0.1351333165
519	0.1350394467
520	0.13492951
521	0.1347532761
522	0.1345708285
523	0.1344548461
524	0.1343777744
525	0.1342618484
526	0.1341552476
527	0.1340795438
528	0.1339704823
529	0.1339295903
530	0.1338578798
531	0.133751102
532	0.1336514818
533	0.1335952599
534	0.1335040169
535	0.1333967101
536	0.1332904729
537	0.1331844683
538	0.1330929207
539	0.1330084278
540	0.1328676275
541	0.132828978
542	0.1327828695
543	0.13267278
544	0.1326068051
545	0.1325038883
546	0.1323396318
547	0.1322196418
548	0.1321199044
549	0.1320771675
550	0.1319033445
551	0.1318150146
552	0.1317537271
553	0.1317163747
554	0.1316296071
555	0.1315721331
556	0.131492593
557	0.1314367638
558	0.131336214
559	0.1312095087
560	0.1310821866
561	0.1309827156
562	0.1308885363
563	0.1308423964
564	0.1306837008
565	0.1305590707
566	0.1304585894
567	0.1303760171
568	0.1302548016
569	0.1301409371
570	0.1300440164
571	0.1299198283
572	0.129851695
573	0.1297585224
574	0.1296432411
575	0.1296124212
576	0.1295827803
577	0.1295110023
578	0.1293770163
579	0.1293248822
580	0.1292867864
581	0.1292276245
582	0.1291757009
583	0.1291289839
584	0.1290678595
585	0.1289817105
586	0.128900317
587	0.1288359863
588	0.1287486996
589	0.1286477206
590	0.128610457
591	0.1285288455
592	0.1283961311
593	0.1282919319
594	0.1282532599
595	0.1280816617
596	0.1279961716
597	0.1278889989
598	0.1277762872
599	0.1276888671
600	0.1276076533
601	0.1275501654
602	0.1274608543
603	0.1274263268
604	0.1273001615
605	0.1272010511
606	0.127078039
607	0.1270244103
608	0.1269484416
609	0.1268780881
610	0.1268259723
611	0.1267706632
612	0.1267104894
613	0.1266739435
614	0.1265635365
615	0.1265226678
616	0.1264442965
617	0.1263902592
618	0.1262828006
619	0.1262520756
620	0.1261604711
621	0.1261299137
622	0.125976515
623	0.1258549314
624	0.1257071424
625	0.1256414333
626	0.12557627
627	0.1254982
628	0.1254146452
629	0.1252774652
630	0.1251862001
631	0.1250125878
632	0.1248759147
633	0.1247767503
634	0.1247134904
635	0.124611028
636	0.1245390327
637	0.1244752227
638	0.1243796915
639	0.1243003343
640	0.1241403197
641	0.1240532513
642	0.1239270787
643	0.1238615718
644	0.123731646
645	0.1236284261
646	0.1234769362
647	0.1234538884
648	0.123305861
649	0.1231834078
650	0.1230797713
651	0.1230335031
652	0.1228877563
653	0.122801352
654	0.1227646022
655	0.1226746868
656	0.122586195
657	0.1225073889
658	0.1224685564
659	0.1223804257
660	0.1222973119
661	0.1221903305
662	0.1220910326
663	0.1219631731
664	0.1218868987
665	0.1217962309
666	0.1217074313
667	0.1216311197
668	0.1214948226
669	0.121440377
670	0.1213527782
671	0.121247695
672	0.121104886
673	0.1209812511
674	0.1209012224
675	0.1208145815
676	0.1207114615
677	0.1206361874
678	0.1205443871
679	0.1204208816
680	0.1203141148
681	0.1202319922
682	0.1201911621
683	0.1200477256
684	0.1199761315
685	0.1198708063
686	0.1197579894
687	0.1197133937
688	0.1196407761
689	0.1195336164
690	0.1194597532
691	0.1193422763
692	0.1192694219
693	0.1191214686
694	0.1190884239
695	0.1190283443
696	0.1189453018
697	0.1188660844
698	0.1188320296
699	0.1187378751
700	0.1186422871
701	0.118563864
702	0.1185067335
703	0.1183943022
704	0.1182996548
705	0.1181858577
706	0.1181360358
707	0.1180548571
708	0.1180185828
709	0.117913889
710	0.1178333634
711	0.117735376
712	0.1176405403
713	0.1176028221
714	0.1175265612
715	0.117445633
716	0.117338105
717	0.1173110198
718	0.1172147709
719	0.1171462194
720	0.1170396824
721	0.1169673631
722	0.1168769644
723	0.1167873754
724	0.1167470044
725	0.1166698006
726	0.1165894907
727	0.1165271744
728	0.1164463243
729	0.1163811156
730	0.1162560133
731	0.1161567353
732	0.1160738342
733	0.115990116
734	0.1158953379
735	0.1157987551
736	0.1157545203
737	0.1156591768
738	0.1155784814
739	0.1154747387
740	0.1154236645
741	0.1153970393
742	0.1152780215
743	0.1152288846
744	0.1151659726
745	0.1150763231
746	0.1150030291
747	0.1149298035
748	0.1148583533
749	0.114762445
750	0.1146904446
751	0.1146118801
752	0.1145780546
753	0.1144966156
754	0.1144155903
755	0.1143389815
756	0.1141961981
757	0.1141091684
758	0.1140575448
759	0.1139443697
760	0.1138702955
761	0.1138094433
762	0.1137181135
763	0.1136614393
764	0.1135785813
765	0.1135479708
766	0.1134528262
767	0.113412768
768	0.1133235395
769	0.1132336853
770	0.113126758
771	0.113042649
772	0.1129270548
773	0.1128692303
774	0.1127163202
775	0.1125953101
776	0.1125126019
777	0.1124517908
778	0.1123165232
779	0.1122983907
780	0.1122415565
781	0.1121732697
782	0.1121042484
783	0.1120475037
784	0.1119284025
785	0.1118262843
786	0.1117540809
787	0.1116655267
788	0.1116054923
789	0.1115544952
790	0.1114169058
791	0.1113161969
792	0.1112438031
793	0.1111526999
794	0.1110963721
795	0.1110384956
796	0.1109448428
797	0.1109073106
798	0.110809642
799	0.1107553904
800	0.1106307188
801	0.1105243759
802	0.1104372515
803	0.1103832067
804	0.1103494423
805	0.1103003457
806	0.1102440404
807	0.1102014944
808	0.1101509535
809	0.1100727303
810	0.1100373289
811	0.1098871567
